left_curie	left_title	right_curie	right_titke	similarity
tess.tess:4925	PHENET webinar (29 Nov 24): Intercropping in Europe: A systemic mapping of arable grain crops	tess.tess:4926	PHENET webinar (29 Nov 24): Plant Health - Validated sensors and methodology	0.8969567170231575
tess.tess:4924	PHENET webinar (29 Nov 24): Multiple sensor application in sentinel bumble bee colonies	tess.tess:4929	PHENET webinar (29 Nov 24): Introduction, Tools and Methods	0.9265492455071632
tess.tess:4924	PHENET webinar (29 Nov 24): Multiple sensor application in sentinel bumble bee colonies	tess.tess:4928	PHENET webinar (29 Nov 24): Open Science services for data management, integration, sharing and modelling	0.90980708202011
tess.tess:4924	PHENET webinar (29 Nov 24): Multiple sensor application in sentinel bumble bee colonies	tess.tess:4927	PHENET webinar (29 Nov 24): Adaptable phenotyping devices with AI embedded targeted towards traits	0.8842430867786554
tess.tess:4924	PHENET webinar (29 Nov 24): Multiple sensor application in sentinel bumble bee colonies	tess.tess:4926	PHENET webinar (29 Nov 24): Plant Health - Validated sensors and methodology	0.9004990488806813
tess.tess:4924	PHENET webinar (29 Nov 24): Multiple sensor application in sentinel bumble bee colonies	tess.tess:4925	PHENET webinar (29 Nov 24): Intercropping in Europe: A systemic mapping of arable grain crops	0.8813058731728535
tess.tess:4922	PHENET webinar (6 Dec 24): Simulation intelligence services	tess.tess:4923	PHENET webinar (6 Dec 24): Introduction, Tools and Methods	0.9372210797774531
tess.tess:4921	PHENET webinar (6 Dec 24): Adaptable Phenotyping devices with AI embedded targeted towards agroecological traits	tess.tess:4923	PHENET webinar (6 Dec 24): Introduction, Tools and Methods	0.9172191609582415
tess.tess:4921	PHENET webinar (6 Dec 24): Adaptable Phenotyping devices with AI embedded targeted towards agroecological traits	tess.tess:4922	PHENET webinar (6 Dec 24): Simulation intelligence services	0.8891395647209431
tess.tess:4920	PHENET webinar (6 Dec 24): Model-assissted wheat phenotyping	tess.tess:4923	PHENET webinar (6 Dec 24): Introduction, Tools and Methods	0.9451180023862223
tess.tess:4920	PHENET webinar (6 Dec 24): Model-assissted wheat phenotyping	tess.tess:4922	PHENET webinar (6 Dec 24): Simulation intelligence services	0.9158475180342065
tess.tess:4920	PHENET webinar (6 Dec 24): Model-assissted wheat phenotyping	tess.tess:4921	PHENET webinar (6 Dec 24): Adaptable Phenotyping devices with AI embedded targeted towards agroecological traits	0.8941545452256615
tess.tess:4919	PHENET webinar (6 Dec 24): High throughput phenotyping on apple	tess.tess:4923	PHENET webinar (6 Dec 24): Introduction, Tools and Methods	0.9571988042871957
tess.tess:4919	PHENET webinar (6 Dec 24): High throughput phenotyping on apple	tess.tess:4922	PHENET webinar (6 Dec 24): Simulation intelligence services	0.9275879978088182
tess.tess:4919	PHENET webinar (6 Dec 24): High throughput phenotyping on apple	tess.tess:4921	PHENET webinar (6 Dec 24): Adaptable Phenotyping devices with AI embedded targeted towards agroecological traits	0.9175434186611882
tess.tess:4919	PHENET webinar (6 Dec 24): High throughput phenotyping on apple	tess.tess:4920	PHENET webinar (6 Dec 24): Model-assissted wheat phenotyping	0.9337097164390623
tess.tess:4918	PHENET webinar (13 Dec 24): Introduction, Tools and Methods	tess.tess:4934	PHENET webinar (13 Dec 24): Towards understanding soil phenology	0.9660942365377269
tess.tess:4917	PHENET webinar (13 Dec 24): Building on soil ontologies	tess.tess:4934	PHENET webinar (13 Dec 24): Towards understanding soil phenology	0.968438718472745
tess.tess:4917	PHENET webinar (13 Dec 24): Building on soil ontologies	tess.tess:4918	PHENET webinar (13 Dec 24): Introduction, Tools and Methods	0.9695199582380529
tess.tess:4916	PHENET webinar (13 Dec 24): Soil in ecological & agroecological settings	tess.tess:4934	PHENET webinar (13 Dec 24): Towards understanding soil phenology	0.9572376065461885
tess.tess:4916	PHENET webinar (13 Dec 24): Soil in ecological & agroecological settings	tess.tess:4918	PHENET webinar (13 Dec 24): Introduction, Tools and Methods	0.9583063405252246
tess.tess:4916	PHENET webinar (13 Dec 24): Soil in ecological & agroecological settings	tess.tess:4917	PHENET webinar (13 Dec 24): Building on soil ontologies	0.9606319230808419
tess.tess:4915	PHENET webinar (13 Dec 24): In-situ subsurface soil properties estimation with VIs-NIR spectroscopy	tess.tess:4934	PHENET webinar (13 Dec 24): Towards understanding soil phenology	0.9296563346981176
tess.tess:4915	PHENET webinar (13 Dec 24): In-situ subsurface soil properties estimation with VIs-NIR spectroscopy	tess.tess:4918	PHENET webinar (13 Dec 24): Introduction, Tools and Methods	0.9331075680596103
tess.tess:4915	PHENET webinar (13 Dec 24): In-situ subsurface soil properties estimation with VIs-NIR spectroscopy	tess.tess:4917	PHENET webinar (13 Dec 24): Building on soil ontologies	0.9329528494263644
tess.tess:4915	PHENET webinar (13 Dec 24): In-situ subsurface soil properties estimation with VIs-NIR spectroscopy	tess.tess:4916	PHENET webinar (13 Dec 24): Soil in ecological & agroecological settings	0.9221621725468766
tess.tess:4901	Applied Metagenomics - AM21 (November 1-5, 2021)	tess.tess:4902	Applied Metagenomics - AM22 (October 11-14, 2022)	0.9235903631907744
tess.tess:4884	Using OpenCloning, an Open-Source web application to plan and document cloning and genome engineering	tess.tess:4887	Using OpenCloning to automate the planning and documentation of cloning and genome engineering via python scripting	0.866204583085149
tess.tess:4881	Introduction to Sequencing Data Analysis	tess.tess:4938	Introduction to Metagenomics Data Analysis of Microbial Communities	0.7567669003833438
tess.tess:4868	Setting up a dev Onedata instance	tess.tess:4870	Exporting to Onedata remote	0.7099954144627874
tess.tess:4858	Bacterial genome quality control	tess.tess:4859	Phylogenetic analysis for bacterial comparative genomics	0.7440075840888691
tess.tess:4857	Bacterial pangenomics	tess.tess:4858	Bacterial genome quality control	0.8378910185516786
tess.tess:4856	Dataset construction for bacterial comparative genomics	tess.tess:4859	Phylogenetic analysis for bacterial comparative genomics	0.7355084012700306
tess.tess:4856	Dataset construction for bacterial comparative genomics	tess.tess:4858	Bacterial genome quality control	0.818416048736851
tess.tess:4856	Dataset construction for bacterial comparative genomics	tess.tess:4857	Bacterial pangenomics	0.7269822437759452
tess.tess:4847	Generative Artificial Intelligence and Large Langage Model using Python	tess.tess:4889	Optimizing DNA Sequences for Biological Functions using a DNA LLM	0.7509936465426047
tess.tess:4832	eBioDiv Matching Service - User's Tutorial	tess.tess:4833	eBioDiv Matching Service factsheet Video	0.8478466399317094
tess.tess:4831	eBioDiv Matching Service Factsheet	tess.tess:4833	eBioDiv Matching Service factsheet Video	0.7034917908096517
tess.tess:4822	Plazi: QC Tutorial	tess.tess:4823	Table Fixing - Quality Control	0.7107916797416439
tess.tess:4821	ENHANCING ANNOTATIONS	tess.tess:4823	Table Fixing - Quality Control	0.7279860910982691
tess.tess:4821	ENHANCING ANNOTATIONS	tess.tess:4822	Plazi: QC Tutorial	0.743347644577707
tess.tess:4820	INDIVIDUAL EXTRACTION – Guide	tess.tess:4821	ENHANCING ANNOTATIONS	0.700127084246396
tess.tess:4819	Glossary - GGI	tess.tess:4820	INDIVIDUAL EXTRACTION – Guide	0.7414383455638766
tess.tess:4818	Individual Extraction	tess.tess:4823	Table Fixing - Quality Control	0.7255612917400313
tess.tess:4818	Individual Extraction	tess.tess:4822	Plazi: QC Tutorial	0.7176041463450308
tess.tess:4818	Individual Extraction	tess.tess:4821	ENHANCING ANNOTATIONS	0.7545313862193778
tess.tess:4818	Individual Extraction	tess.tess:4820	INDIVIDUAL EXTRACTION – Guide	0.7286595999558569
tess.tess:4817	GOLDENGATE IMAGINE STRUCTURE - Getting used to GGI and its tools and functions	tess.tess:4823	Table Fixing - Quality Control	0.7029813234180042
tess.tess:4817	GOLDENGATE IMAGINE STRUCTURE - Getting used to GGI and its tools and functions	tess.tess:4821	ENHANCING ANNOTATIONS	0.7351330118758921
tess.tess:4817	GOLDENGATE IMAGINE STRUCTURE - Getting used to GGI and its tools and functions	tess.tess:4820	INDIVIDUAL EXTRACTION – Guide	0.7156612569978508
tess.tess:4817	GOLDENGATE IMAGINE STRUCTURE - Getting used to GGI and its tools and functions	tess.tess:4818	Individual Extraction	0.7818127678013628
tess.tess:4816	Introduction to GGI	tess.tess:4822	Plazi: QC Tutorial	0.7374748227727327
tess.tess:4816	Introduction to GGI	tess.tess:4821	ENHANCING ANNOTATIONS	0.7356294924186135
tess.tess:4816	Introduction to GGI	tess.tess:4820	INDIVIDUAL EXTRACTION – Guide	0.7231694731184121
tess.tess:4816	Introduction to GGI	tess.tess:4819	Glossary - GGI	0.7226670646546755
tess.tess:4816	Introduction to GGI	tess.tess:4818	Individual Extraction	0.7579946917313746
tess.tess:4816	Introduction to GGI	tess.tess:4817	GOLDENGATE IMAGINE STRUCTURE - Getting used to GGI and its tools and functions	0.7880155547226884
tess.tess:4810	NGS - Quality Control, Alignment, Visualisation	tess.tess:4938	Introduction to Metagenomics Data Analysis of Microbial Communities	0.7157420478277285
tess.tess:4810	NGS - Quality Control, Alignment, Visualisation	tess.tess:4881	Introduction to Sequencing Data Analysis	0.9261216473823546
tess.tess:4776	Neoantigen 2: Non-normal-Database-Generation	tess.tess:4806	Neoantigen 2: Non-Reference-Database-Generation	0.9931766783251924
tess.tess:4727	Create a subdomain for your community on UseGalaxy.eu	tess.tess:4732	Make your tools available on your subdomain	0.7024751879646421
tess.tess:4698	FAIRsharing content: standards overview	tess.tess:4697	FAIRsharing in a nutshell	0.7080282667507815
tess.tess:4699	FAIRsharing content: databases overview	tess.tess:4697	FAIRsharing in a nutshell	0.711256044978214
tess.tess:4699	FAIRsharing content: databases overview	tess.tess:4698	FAIRsharing content: standards overview	0.9021970500765952
tess.tess:4700	FAIRsharing for you: researchers	tess.tess:4697	FAIRsharing in a nutshell	0.7648411733905316
tess.tess:4700	FAIRsharing for you: researchers	tess.tess:4698	FAIRsharing content: standards overview	0.7080282667507815
tess.tess:4700	FAIRsharing for you: researchers	tess.tess:4699	FAIRsharing content: databases overview	0.711256044978214
tess.tess:4702	FAIRsharing for you: funders	tess.tess:4697	FAIRsharing in a nutshell	0.7648411733905316
tess.tess:4702	FAIRsharing for you: funders	tess.tess:4698	FAIRsharing content: standards overview	0.7080282667507815
tess.tess:4702	FAIRsharing for you: funders	tess.tess:4699	FAIRsharing content: databases overview	0.711256044978214
tess.tess:4702	FAIRsharing for you: funders	tess.tess:4700	FAIRsharing for you: researchers	0.7648411733905316
tess.tess:4706	FAIRsharing for you: libraries and trainers	tess.tess:4697	FAIRsharing in a nutshell	0.7063704215554104
tess.tess:4706	FAIRsharing for you: libraries and trainers	tess.tess:4700	FAIRsharing for you: researchers	0.7063704215554104
tess.tess:4706	FAIRsharing for you: libraries and trainers	tess.tess:4702	FAIRsharing for you: funders	0.7063704215554104
tess.tess:4709	GTN Smörgåsbord 3: FAIR data and provenance with RO-Crate and Galaxy - Building RO-Crates - An overview of the RO-Crate concept and its implementations	tess.tess:4731	An earth-system RO-Crate	0.7092661682420329
tess.tess:4711	Data management in life sciences with RDMkit	tess.tess:4710	Data management in social sciences and humanities with DMEG	0.7876867317610761
tess.tess:4712	Challenges and issues in data management	tess.tess:4711	Data management in life sciences with RDMkit	0.7090777267181732
tess.tess:4714	Euro-BioImaging's Guide to FAIR BioImage Data 2024	tess.tess:4713	Euro-BioImaging's Guide to FAIR BioImage Data 2023	0.8805658598291326
tess.tess:4686	Running the GTN website online using GitHub CodeSpaces	tess.tess:4855	Preview the GTN website as you edit your training material	0.7458238456060802
tess.tess:4661	Introduction to Large Language Models for Life Scientists	tess.tess:4909	Using Large Language Models for Biodata Exploration: From Theory to Practice	0.7526174862379872
tess.tess:4609	QIIME 2 Moving Pictures	tess.tess:4610	QIIME 2 Cancer Microbiome Intervention	0.72165213843149
tess.tess:4608	FAIR-by-Design-Methodology/FAIR-by-Design_Book	tess.tess:4666	FAIR-by-Design methodology	0.7042033160558262
tess.tess:4605	AlexsLemonade/2023-june-training	tess.tess:4606	AlexsLemonade/2023-march-training	0.7499073884719509
tess.tess:4593	Ecoregionalization workflow tutorial	tess.tess:4943	Life Traits Ecoregionalization workflow	0.8122062133554329
tess.tess:4578	Genome annotation with Helixer	tess.tess:4860	Genome annotation with Braker3	0.7705229990636893
tess.tess:4574	Europe PMC API workshop: Part one	tess.tess:4594	Europe PMC API workshop: Part two	0.7581383840959591
tess.tess:4548	What's a Special Interest Group?	tess.tess:4547	Creating a Special Interest Group	0.7202659587062136
tess.tess:4503	Filter, plot and explore single-cell RNA-seq data with Scanpy (Python)	tess.tess:4502	Filter, plot, and explore single cell RNA-seq data with Seurat	0.7850248238898013
tess.tess:4506	Checking expected species and contamination in bacterial isolate	tess.tess:4552	Quality and contamination control in bacterial isolate using Illumina MiSeq Data	0.7206912906700236
tess.tess:4501	Filter, plot, and explore single cell RNA-seq data with Seurat (R)	tess.tess:4502	Filter, plot, and explore single cell RNA-seq data with Seurat	0.834732537131002
tess.tess:4501	Filter, plot, and explore single cell RNA-seq data with Seurat (R)	tess.tess:4503	Filter, plot and explore single-cell RNA-seq data with Scanpy (Python)	0.935689807581392
tess.tess:4487	Data Manipulation Olympics - JQ	tess.tess:4488	Data Manipulation Olympics - SQL	0.7522627196544578
tess.tess:4475	16S Microbial Analysis with mothur (short)	tess.tess:4480	16S Microbial Analysis with mothur (extended)	0.9801774539185506
tess.tess:4478	Metatranscriptomics analysis using microbiome RNA-seq data	tess.tess:4479	Metatranscriptomics analysis using microbiome RNA-seq data (short)	0.9968339618473951
tess.tess:4471	Workflow Run RO-Crate Introduction	tess.tess:4709	GTN Smörgåsbord 3: FAIR data and provenance with RO-Crate and Galaxy - Building RO-Crates - An overview of the RO-Crate concept and its implementations	0.7495369631178349
tess.tess:4420	Introduction to metatranscriptomics	tess.tess:4479	Metatranscriptomics analysis using microbiome RNA-seq data (short)	0.8086446626802377
tess.tess:4420	Introduction to metatranscriptomics	tess.tess:4478	Metatranscriptomics analysis using microbiome RNA-seq data	0.811212993969033
tess.tess:4394	Enzymes: Extracting Biological Insight Using UniProt	tess.tess:4948	UniProt: Focus on Plant Proteins	0.7534302467825044
tess.tess:4358	RDMbites | EDIJ and decolonisation in data management	tess.tess:4360	RDMbites | Decolonising data management in the biosciences	0.8714279084347668
tess.tess:4354	RDMbites | FAIRification framework: the process	tess.tess:4355	RDMbites | FAIRification tools and templates	0.758783113984014
tess.tess:4353	RDMbites | EDIJ and decolonisation in data management: why should I care?	tess.tess:4360	RDMbites | Decolonising data management in the biosciences	0.8659174089545135
tess.tess:4353	RDMbites | EDIJ and decolonisation in data management: why should I care?	tess.tess:4358	RDMbites | EDIJ and decolonisation in data management	0.8970435392994237
tess.tess:4281	FAIR Bioimage Metadata	tess.tess:4314	REMBI - Recommended Metadata for Biological Images – metadata guidelines for bioimaging data	0.7029155405090856
tess.tess:4262	RamiKrispin/vscode-python	tess.tess:4263	RamiKrispin/vscode-r	0.7800275924306045
tess.tess:4249	NBISweden/module-data-publication-dm-practices	tess.tess:4248	NBISweden/module-openrefine-dm-practices	0.7442979009370592
tess.tess:4251	NBISweden/module-organising-data-dm-practices	tess.tess:4248	NBISweden/module-openrefine-dm-practices	0.7520763651787042
tess.tess:4251	NBISweden/module-organising-data-dm-practices	tess.tess:4249	NBISweden/module-data-publication-dm-practices	0.8120659761504869
tess.tess:4244	NBISweden/module-versioning-dm-practices	tess.tess:4248	NBISweden/module-openrefine-dm-practices	0.709659013081417
tess.tess:4246	NBISweden/module-rstudio-intro-dm-practices	tess.tess:4247	NBISweden/module-r-intro-dm-practices	0.9362881840150834
tess.tess:4245	NBISweden/module-dmp-dm-practices	tess.tess:4248	NBISweden/module-openrefine-dm-practices	0.779239040520985
tess.tess:4245	NBISweden/module-dmp-dm-practices	tess.tess:4249	NBISweden/module-data-publication-dm-practices	0.8264536648632782
tess.tess:4245	NBISweden/module-dmp-dm-practices	tess.tess:4251	NBISweden/module-organising-data-dm-practices	0.8350907176769728
tess.tess:4245	NBISweden/module-dmp-dm-practices	tess.tess:4244	NBISweden/module-versioning-dm-practices	0.7358999845704954
tess.tess:4228	NBISweden/module-repository-submission-dm-practices	tess.tess:4248	NBISweden/module-openrefine-dm-practices	0.7062936552512575
tess.tess:4228	NBISweden/module-repository-submission-dm-practices	tess.tess:4249	NBISweden/module-data-publication-dm-practices	0.8402773002499881
tess.tess:4228	NBISweden/module-repository-submission-dm-practices	tess.tess:4251	NBISweden/module-organising-data-dm-practices	0.7569169982296098
tess.tess:4228	NBISweden/module-repository-submission-dm-practices	tess.tess:4245	NBISweden/module-dmp-dm-practices	0.7854132794856853
tess.tess:4159	NBISweden/module-open-science-dm-practices	tess.tess:4250	NBISweden/module-metadata-dm-practices	0.7471656268991544
tess.tess:4161	ucdavis-bioinformatics-training/2023-June-Single-Cell-RNA-Seq-Analysis	tess.tess:4259	ucdavis-bioinformatics-training/2022-July-Advanced-Topics-in-Single-Cell-RNA-Seq-ATAC	0.7110733257841961
tess.tess:4161	ucdavis-bioinformatics-training/2023-June-Single-Cell-RNA-Seq-Analysis	tess.tess:4197	ucdavis-bioinformatics-training/2023-June-RNA-Seq-Analysis	0.828945653226393
tess.tess:4161	ucdavis-bioinformatics-training/2023-June-Single-Cell-RNA-Seq-Analysis	tess.tess:4196	ucdavis-bioinformatics-training/2023-December-Single-Cell-RNA-Seq-Analysis	0.722759107968279
tess.tess:4124	hds-sandbox/bulk_RNAseq_course	tess.tess:4195	hds-sandbox/scRNASeq_course	0.7298126073715375
tess.tess:4117	hbctraining/Peak_analysis_workshop	tess.tess:4800	hbctraining/Intro-to-peak-analysis	0.8850155095941182
tess.tess:4069	LeidenCBC/MGC-BioSB-SingleCellAnalysis2021	tess.tess:4599	LeidenCBC/MGC-BioSB-SingleCellAnalysis2022	0.7907947514004424
tess.tess:4034	vibbits/nextflow-workshop	tess.tess:4072	vibbits/nextflow-workshop	1.0
tess.tess:4021	posit-conf-2023/programming-r	tess.tess:4652	posit-conf-2024/programming-r	0.8767742496822747
tess.tess:3986	posit-conf-2023/ds-workflows-r	tess.tess:4021	posit-conf-2023/programming-r	0.7657914865066171
tess.tess:3980	posit-conf-2023/shiny-r-prod	tess.tess:4059	posit-conf-2023/shiny-r-ui	0.7761416156395593
tess.tess:3964	posit-conf-2023/shiny-r-intro	tess.tess:4645	posit-conf-2024/shiny-r-intro	0.7158895380951882
tess.tess:3964	posit-conf-2023/shiny-r-intro	tess.tess:4059	posit-conf-2023/shiny-r-ui	0.8391484758808125
tess.tess:3964	posit-conf-2023/shiny-r-intro	tess.tess:3980	posit-conf-2023/shiny-r-prod	0.7893565312361817
tess.tess:3942	lmweber/BestPracticesST	tess.tess:4807	lmweber/OSTA	0.7125312040048694
tess.tess:3943	sib-swiss/intro-machine-learning-training	tess.tess:3985	sib-swiss/statistics-and-machine-learning-training	0.8968241391200756
tess.tess:3901	posit-conf-2023/dataviz-ggplot2	tess.tess:3909	posit-conf-2023/dataviz-storytelling	0.8385834052924567
tess.tess:3888	sib-swiss/first-steps-with-python-training	tess.tess:3906	sib-swiss/first-steps-with-R-training	0.7948626874085813
tess.tess:3887	rafalab/dsbook-part-1	tess.tess:3915	rafalab/dsbook-part-2	0.7388328335744059
tess.tess:3873	posit-conf-2023/pkg-dev-masterclass	tess.tess:4062	posit-conf-2023/teach-ds-masterclass	0.7368394901627694
tess.tess:3873	posit-conf-2023/pkg-dev-masterclass	tess.tess:4005	posit-conf-2023/pkg-dev	0.7624747296199139
tess.tess:3732	Introduction to Viral Bioinformatics	tess.tess:4881	Introduction to Sequencing Data Analysis	0.7378440771484566
tess.tess:3732	Introduction to Viral Bioinformatics	tess.tess:4810	NGS - Quality Control, Alignment, Visualisation	0.7252157501689332
tess.tess:3730	FAIR in a nutshell	tess.tess:4527	FAIR in a nutshell	0.7343202052767116
tess.tess:3693	Deep Learning for Life Sciences - fundamentals and applications	tess.tess:4674	Diving into deep learning - theory and applications with PyTorch	0.7205627035691989
tess.tess:3677	RDMbites | Data catalogues for different data types	tess.tess:3678	RDMbites | Data catalogues for large projects	0.871453953343257
tess.tess:3652	Proteomics Sandbox	tess.tess:4083	hds-sandbox/proteomics-sandbox	0.950015513580381
tess.tess:3651	AKKI andmehalduse seminar	tess.tess:3676	Andmehaldus 101	0.7918507763666941
tess.tess:3574	Galaxy Introduction for Life Scientists	tess.tess:4810	NGS - Quality Control, Alignment, Visualisation	0.7119230336084045
tess.tess:3534	RO-Crate in Python	tess.tess:4731	An earth-system RO-Crate	0.7415829549597247
tess.tess:3534	RO-Crate in Python	tess.tess:4709	GTN Smörgåsbord 3: FAIR data and provenance with RO-Crate and Galaxy - Building RO-Crates - An overview of the RO-Crate concept and its implementations	0.764371337917189
tess.tess:3534	RO-Crate in Python	tess.tess:4471	Workflow Run RO-Crate Introduction	0.7357817958788818
tess.tess:3530	Welcome to the BioImage Model Zoo	tess.tess:3531	BioImage Model Zoo: Advanced models in one-click	0.7331859816105953
tess.tess:3518	Hands-on for 'Taxonomic Profiling and Visualization of Metagenomic Data' tutorial	tess.tess:4534	Taxonomic Profiling and Visualization of Metagenomic Data	0.821262831356175
tess.tess:3505	Pre-processing of 10X Single-Cell ATAC-seq Datasets	tess.tess:4551	Single-cell ATAC-seq standard processing with SnapATAC2	0.7682573316488224
tess.tess:3492	LIPID MAPS Webinar Series	tess.tess:3493	LIPID MAPS Podcasts	0.7174139509998343
tess.tess:3483	LIPID MAPS Tutorials	tess.tess:3493	LIPID MAPS Podcasts	0.7948255758735387
tess.tess:3483	LIPID MAPS Tutorials	tess.tess:3492	LIPID MAPS Webinar Series	0.810424019431253
tess.tess:3472	Customizing the look of Galaxy	tess.tess:3474	Customizing the look of Galaxy (Manual)	0.9781535872216056
tess.tess:3468	Server Maintenance: Cleanup, Backup, and Restoration	tess.tess:3470	Server Maintenance: Cleanup, Backup, and Restoration	0.736376802022497
tess.tess:3451	NGS - Quality Control, Alignment, Visualisation	tess.tess:4938	Introduction to Metagenomics Data Analysis of Microbial Communities	0.7058930120029857
tess.tess:3451	NGS - Quality Control, Alignment, Visualisation	tess.tess:4881	Introduction to Sequencing Data Analysis	0.8713604380323414
tess.tess:3451	NGS - Quality Control, Alignment, Visualisation	tess.tess:4810	NGS - Quality Control, Alignment, Visualisation	0.9246556007857616
tess.tess:3451	NGS - Quality Control, Alignment, Visualisation	tess.tess:3732	Introduction to Viral Bioinformatics	0.7144986092298484
tess.tess:3450	NGS - Genome Variant Analysis	tess.tess:4881	Introduction to Sequencing Data Analysis	0.7119921064050143
tess.tess:3450	NGS - Genome Variant Analysis	tess.tess:4810	NGS - Quality Control, Alignment, Visualisation	0.7648717650023665
tess.tess:3450	NGS - Genome Variant Analysis	tess.tess:3451	NGS - Quality Control, Alignment, Visualisation	0.7433497379876379
tess.tess:3448	Long-read Sequence Analysis	tess.tess:4881	Introduction to Sequencing Data Analysis	0.7444646271663027
tess.tess:3448	Long-read Sequence Analysis	tess.tess:4810	NGS - Quality Control, Alignment, Visualisation	0.7139967120769782
tess.tess:3448	Long-read Sequence Analysis	tess.tess:3451	NGS - Quality Control, Alignment, Visualisation	0.7114121234726732
tess.tess:3447	Introduction to Statistics and Data Visualisation with R	tess.tess:4881	Introduction to Sequencing Data Analysis	0.7184500724582609
tess.tess:3447	Introduction to Statistics and Data Visualisation with R	tess.tess:4810	NGS - Quality Control, Alignment, Visualisation	0.7151436698142458
tess.tess:3447	Introduction to Statistics and Data Visualisation with R	tess.tess:3732	Introduction to Viral Bioinformatics	0.7341630250207878
tess.tess:3447	Introduction to Statistics and Data Visualisation with R	tess.tess:3583	Introduction to Statistics with Python	0.7092116057115522
tess.tess:3447	Introduction to Statistics and Data Visualisation with R	tess.tess:3451	NGS - Quality Control, Alignment, Visualisation	0.7073198261377448
tess.tess:3446	Introduction to bulk RNA-Seq: From Quality Control to Pathway Analysis	tess.tess:4881	Introduction to Sequencing Data Analysis	0.7129512786836127
tess.tess:3446	Introduction to bulk RNA-Seq: From Quality Control to Pathway Analysis	tess.tess:4810	NGS - Quality Control, Alignment, Visualisation	0.7163789709649484
tess.tess:3446	Introduction to bulk RNA-Seq: From Quality Control to Pathway Analysis	tess.tess:3451	NGS - Quality Control, Alignment, Visualisation	0.7520123579646258
tess.tess:3440	First Steps with R in Life Sciences	tess.tess:3447	Introduction to Statistics and Data Visualisation with R	0.7499164563129942
tess.tess:3439	First Steps with Python in Life Sciences	tess.tess:3559	Data Analysis and Representation in Python	0.7218422532534268
tess.tess:3437	Docker and Singularity for Reproducible Research: Getting Started with Containers	tess.tess:3699	Introduction to Containers and Snakemake for Reproducible Research	0.808975578283191
tess.tess:3436	Discover ViralZone	tess.tess:4888	ViralZone and the Revolution in 3D Virus Structure	0.7832711457815397
tess.tess:3390	Accessing human disease and protein variant information in UniProtKB	tess.tess:4368	Exploring human disease and protein variant data in UniProtKB	0.9104910867594542
